Variables ->,GDP,CPI,S,RS,GDP_RW,CPI_RW,RS_RW,D4L_CPI_TAR
Comments ->,"Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office","Headline CPI (NSA,index) Source: Central Bank",Nominal Exchange Rate (LCY per 1 EUR) Source: Central Bank,Nominal Policy Interest Rate (% pa) Source: Central Bank,"EA19 Real GDP (SWDA,in constant prices,base=2010) Source: Statistical Office of the European Communities","Euro Area: Harmonized Indexes of Cosumer Prices (SWDA,2015=100) Source: European Central Bank",Euro Area 3-month deposits [EURIBOR] (% pa) Source: European Central Bank,Inflation Target (% pa) Source: Central Bank
Class[Size] ->,tseries[73-by-1],tseries[73-by-1],tseries[73-by-1],tseries[73-by-1],tseries[73-by-1],tseries[73-by-1],tseries[73-by-1],tseries[73-by-1]
1996Q1,6.03E+05,5.56E+01,3.50E+01,1.09E+01,1.66E+06,8.41E+01,5.63E+00,8.91E+00
1996Q2,6.08E+05,5.71E+01,3.46E+01,1.18E+01,1.68E+06,8.46E+01,5.14E+00,8.76E+00
1996Q3,6.11E+05,5.78E+01,3.39E+01,1.27E+01,1.69E+06,8.48E+01,5.00E+00,8.60E+00
1996Q4,6.11E+05,5.88E+01,3.43E+01,1.27E+01,1.69E+06,8.52E+01,4.59E+00,8.45E+00
1997Q1,6.06E+05,5.96E+01,3.39E+01,1.24E+01,1.70E+06,8.56E+01,4.44E+00,8.30E+00
1997Q2,6.04E+05,6.08E+01,3.66E+01,1.97E+01,1.72E+06,8.57E+01,4.33E+00,8.14E+00
1997Q3,6.00E+05,6.35E+01,3.66E+01,1.55E+01,1.73E+06,8.61E+01,4.32E+00,7.97E+00
1997Q4,6.00E+05,6.48E+01,3.80E+01,1.65E+01,1.75E+06,8.65E+01,4.43E+00,7.80E+00
1998Q1,6.01E+05,6.75E+01,3.63E+01,1.60E+01,1.76E+06,8.66E+01,4.20E+00,7.62E+00
1998Q2,6.02E+05,6.85E+01,3.65E+01,1.56E+01,1.77E+06,8.68E+01,4.06E+00,7.42E+00
1998Q3,6.02E+05,6.95E+01,3.52E+01,1.42E+01,1.78E+06,8.71E+01,3.94E+00,7.21E+00
1998Q4,6.02E+05,6.97E+01,3.50E+01,1.15E+01,1.78E+06,8.72E+01,3.62E+00,7.00E+00
1999Q1,6.04E+05,6.95E+01,3.84E+01,8.08E+00,1.79E+06,8.73E+01,3.09E+00,6.60E+00
1999Q2,6.07E+05,7.01E+01,3.66E+01,7.00E+00,1.81E+06,8.77E+01,2.63E+00,6.30E+00
1999Q3,6.12E+05,7.04E+01,3.57E+01,6.45E+00,1.83E+06,8.81E+01,2.70E+00,5.90E+00
1999Q4,6.19E+05,7.11E+01,3.61E+01,5.88E+00,1.85E+06,8.85E+01,3.43E+00,5.50E+00
2000Q1,6.25E+05,7.21E+01,3.56E+01,5.39E+00,1.87E+06,8.90E+01,3.54E+00,5.50E+00
2000Q2,6.35E+05,7.26E+01,3.59E+01,5.33E+00,1.89E+06,8.93E+01,4.26E+00,5.50E+00
2000Q3,6.44E+05,7.32E+01,3.55E+01,5.34E+00,1.90E+06,9.00E+01,4.74E+00,5.50E+00
2000Q4,6.48E+05,7.42E+01,3.51E+01,5.41E+00,1.91E+06,9.06E+01,5.02E+00,5.50E+00
2001Q1,6.52E+05,7.51E+01,3.45E+01,5.22E+00,1.93E+06,9.08E+01,4.75E+00,5.10E+00
2001Q2,6.57E+05,7.63E+01,3.38E+01,5.04E+00,1.93E+06,9.18E+01,4.59E+00,4.80E+00
2001Q3,6.60E+05,7.73E+01,3.40E+01,5.41E+00,1.93E+06,9.21E+01,4.27E+00,4.40E+00
2001Q4,6.62E+05,7.74E+01,3.20E+01,5.02E+00,1.93E+06,9.24E+01,3.44E+00,4.10E+00
2002Q1,6.64E+05,7.80E+01,3.09E+01,4.38E+00,1.93E+06,9.32E+01,3.36E+00,4.00E+00
2002Q2,6.69E+05,7.80E+01,2.93E+01,3.93E+00,1.95E+06,9.37E+01,3.45E+00,3.90E+00
2002Q3,6.74E+05,7.79E+01,3.03E+01,3.14E+00,1.95E+06,9.41E+01,3.36E+00,3.90E+00
2002Q4,6.78E+05,7.78E+01,3.16E+01,2.74E+00,1.95E+06,9.45E+01,3.11E+00,3.80E+00
2003Q1,6.87E+05,7.77E+01,3.20E+01,2.50E+00,1.95E+06,9.53E+01,2.68E+00,3.80E+00
2003Q2,6.93E+05,7.80E+01,3.16E+01,2.41E+00,1.95E+06,9.55E+01,2.36E+00,3.70E+00
